epoch,mean_loss,min_loss,max_loss,mean_val_loss,min_val_loss,max_val_loss,mean_recon,min_recon,max_recon,mean_val_recon,min_val_recon,max_val_recon,mean_kl,min_kl,max_kl,mean_val_kl,min_val_kl,max_val_kl
36,nan,nan,nan,nan,nan,nan,1645.1056750000002,702.3631,2686.3787,3911.808075,1084.1586,10041.416,nan,nan,nan,nan,nan,nan
37,nan,nan,nan,nan,nan,nan,1596.7273250000003,662.9278,2674.2148,3876.3971250000004,977.3668,10347.0557,nan,nan,nan,nan,nan,nan
38,nan,nan,nan,nan,nan,nan,1658.3529750000002,685.8967,2672.0403,4032.872,940.5798,10398.5566,nan,nan,nan,nan,nan,nan
39,nan,nan,nan,nan,nan,nan,1626.133925,671.5887,2750.7837,3910.6032499999997,963.7778,10345.541,nan,nan,nan,nan,nan,nan
40,nan,nan,nan,nan,nan,nan,1621.659325,609.7272,2677.8979,3894.3102000000003,949.263,10605.4131,nan,nan,nan,nan,nan,nan
41,nan,nan,nan,nan,nan,nan,1615.76095,658.9819,2665.0356,3946.3547249999997,987.2532,10522.2246,nan,nan,nan,nan,nan,nan
42,nan,nan,nan,nan,nan,nan,1618.2725249999999,659.8199,2669.46,4170.204325000001,1072.816,10710.709,nan,nan,nan,nan,nan,nan
43,nan,nan,nan,nan,nan,nan,1614.76945,727.1555,2691.3745,4145.30475,1063.8763,10750.3066,nan,nan,nan,nan,nan,nan
44,nan,nan,nan,nan,nan,nan,1537.1124249999998,648.9545,2685.7112,4091.9733999999994,1143.6632,10832.4463,nan,nan,nan,nan,nan,nan
45,nan,nan,nan,nan,nan,nan,1561.894175,671.7044,2652.3411,3995.1345,1029.4943,10854.0664,nan,nan,nan,nan,nan,nan
46,nan,nan,nan,nan,nan,nan,1584.7463750000002,650.4965,2644.4124,4056.388325,986.7768,10778.8516,nan,nan,nan,nan,nan,nan
47,nan,nan,nan,nan,nan,nan,1538.7344,616.5978,2649.21,4102.07495,970.5916,11182.8809,nan,nan,nan,nan,nan,nan
48,nan,nan,nan,nan,nan,nan,1525.61215,597.9928,2682.8579,4228.671075,970.9043,11121.2949,nan,nan,nan,nan,nan,nan
49,nan,nan,nan,nan,nan,nan,1568.54955,597.681,2691.405,4160.8804,990.5621,11204.3574,nan,nan,nan,nan,nan,nan
50,nan,nan,nan,nan,nan,nan,1559.97245,697.4603,2669.6501,4292.0729,1085.5992,11339.5586,nan,nan,nan,nan,nan,nan
51,nan,nan,nan,nan,nan,nan,1576.17055,696.7791,2664.0439,4194.894499999999,987.6147,11226.3994,nan,nan,nan,nan,nan,nan
52,nan,nan,nan,nan,nan,nan,1558.3418249999997,664.391,2661.1443,4144.2731,1028.4523,11283.4453,nan,nan,nan,nan,nan,nan
53,nan,nan,nan,nan,nan,nan,1516.4674750000001,637.1706,2697.5789,4110.86815,1042.5336,11258.0371,nan,nan,nan,nan,nan,nan
54,nan,nan,nan,nan,nan,nan,1556.7037249999998,619.7565,2709.6357,4104.245875,955.1783,11161.124,nan,nan,nan,nan,nan,nan
55,nan,nan,nan,nan,nan,nan,1441.9598999999998,586.9549,2669.4561,4072.8541250000003,1000.1556,11183.3281,nan,nan,nan,nan,nan,nan
56,nan,nan,nan,nan,nan,nan,1453.879725,567.9819,2669.0935,3970.1870499999995,943.5598,10762.7734,nan,nan,nan,nan,nan,nan
57,nan,nan,nan,nan,nan,nan,1457.15915,610.9221,2662.1846,4083.8803749999997,973.2394,10997.4414,nan,nan,nan,nan,nan,nan
58,nan,nan,nan,nan,nan,nan,1453.34445,550.5326,2640.9741,4024.4977500000005,989.9433,11046.7598,nan,nan,nan,nan,nan,nan
59,nan,nan,nan,nan,nan,nan,1464.911175,563.482,2648.6401,4042.1538499999997,922.4708,11144.1357,nan,nan,nan,nan,nan,nan
60,nan,nan,nan,nan,nan,nan,1401.2845,565.0777,2647.3486,3914.52075,944.3563,10733.0303,nan,nan,nan,nan,nan,nan
61,nan,nan,nan,nan,nan,nan,1439.5609,548.3098,2707.7761,4102.862950000001,1037.8021,11046.0352,nan,nan,nan,nan,nan,nan
62,nan,nan,nan,nan,nan,nan,1451.5531999999998,573.8016,2682.0581,4138.32915,956.4167,10875.4951,nan,nan,nan,nan,nan,nan
63,nan,nan,nan,nan,nan,nan,1431.362425,541.6625,2645.5613,3990.4883250000003,959.9587,10477.7988,nan,nan,nan,nan,nan,nan
