epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
81,664.4733,503.2383,485.5190,453.0964,1114.3074,1102.2247,0.0010
82,650.9232,497.4670,479.8921,408.7255,1022.0684,1011.0329,0.0010
83,610.3437,497.0170,480.3342,374.9296,1197.4250,1187.1770,0.0010
84,617.8204,510.7763,493.6833,447.3808,1111.2070,1098.8295,0.0010
85,645.8505,509.7214,491.6376,399.7624,1011.2520,1000.0587,0.0010
86,615.3447,486.1960,468.7612,403.9347,1091.4869,1080.0421,0.0010
87,611.4549,500.9166,483.3882,507.5132,1007.8099,993.2612,0.0010
88,703.7372,565.8381,545.4297,539.4708,1035.3578,1019.7131,0.0010
89,714.8167,567.2110,546.2430,472.6260,1009.1171,995.2535,0.0010
90,688.9743,526.6241,506.1846,511.6082,975.3608,960.1830,0.0010
91,716.2817,525.8006,504.3122,469.3112,1057.8060,1043.7267,0.0010
92,652.9711,488.1000,468.2932,385.2921,1048.3812,1036.6941,0.0010
93,616.7635,461.4845,442.5704,366.5760,1365.7236,1354.4821,0.0010
94,622.9110,472.0109,452.7007,490.3878,983.6622,968.4601,0.0010
95,635.9376,510.8195,490.8935,461.4931,995.0291,980.5689,0.0010
96,601.2910,464.1623,445.1214,475.0458,990.5084,975.4653,0.0010
97,601.9545,457.9353,438.6728,494.2083,983.6076,967.7929,0.0010
98,607.0880,477.9302,458.3010,432.0446,1019.6460,1005.6766,0.0010
99,573.8930,440.8886,422.1414,349.0477,1219.6661,1208.2640,0.0010
100,565.8739,455.8919,437.2181,306.7939,1123.6538,1113.5297,0.0007
101,550.2158,429.9874,411.6468,294.3337,1243.3248,1233.5137,0.0007
102,539.1171,434.4135,416.2632,325.1224,1086.5056,1075.5599,0.0007
103,542.7628,424.6544,406.2005,338.3756,1166.5858,1155.0811,0.0007
104,533.0029,458.4738,440.1741,352.2412,1064.8430,1052.7494,0.0007
105,502.4886,411.1897,393.7701,322.7642,1117.6224,1106.4332,0.0007
106,499.1321,474.0778,456.6082,292.1934,1250.8087,1240.5820,0.0007
107,488.6011,471.4853,454.2213,343.9730,1148.4659,1136.3121,0.0007
108,503.3582,474.7174,456.7643,343.4130,1114.0576,1101.8092,0.0007
109,487.4579,435.4515,417.9030,320.7942,1113.1432,1101.5945,0.0007
110,463.4902,420.6284,403.7882,303.5258,1123.8806,1112.8525,0.0007
111,481.0202,410.4024,392.7650,331.5804,1034.0992,1021.9413,0.0007
112,469.5511,427.6092,410.2357,308.1450,1237.4172,1226.0159,0.0007
113,443.6452,420.6978,404.1350,290.5860,1214.7225,1203.8739,0.0007
114,446.4854,433.2406,416.4230,299.4857,1182.8217,1171.5409,0.0007
115,442.3880,396.7893,379.9785,286.7946,1224.0831,1213.1849,0.0007
116,450.6794,410.8560,393.5799,305.4439,1138.6168,1126.9082,0.0007
117,435.7712,407.6682,390.8184,296.9936,1077.2755,1065.7917,0.0007
118,434.5098,403.6642,386.7182,303.0245,1106.8405,1095.0226,0.0007
119,427.5441,429.4731,412.6563,286.2430,1162.1917,1150.9327,0.0007
120,414.5687,426.1187,409.6741,266.9546,1199.9800,1189.3907,0.0007
121,414.6068,416.6723,400.0880,273.0603,1043.1210,1032.1986,0.0007
122,411.2819,409.3575,392.7691,283.3789,1125.7528,1114.3231,0.0007
123,417.2133,454.3019,437.3353,261.9604,1192.2087,1181.5557,0.0007
124,389.4510,386.4986,370.5311,243.2086,1048.0472,1038.0756,0.0007
125,399.0941,406.6216,390.1258,295.9031,1120.0465,1107.8158,0.0007
126,407.6464,438.3219,421.3365,238.4665,1172.6044,1162.6683,0.0007
127,385.8532,424.3190,408.1131,235.6486,1244.5522,1234.6549,0.0007
128,384.8502,409.4078,393.1158,226.7887,1125.0026,1115.4019,0.0007
129,393.5920,414.7840,397.9907,261.3122,1080.6141,1069.4647,0.0007
130,367.6182,429.2474,413.4398,251.1937,1044.0319,1033.2306,0.0007
131,382.1819,412.7495,396.1883,254.5433,1200.1791,1189.1488,0.0007
132,385.4797,429.4917,412.6590,243.5944,1019.8116,1009.1747,0.0007
133,374.0217,374.7679,358.3109,242.1107,1127.6339,1116.9811,0.0007
134,372.1328,417.5024,401.0045,219.3865,1093.6819,1083.9557,0.0007
135,354.0491,377.1180,361.3039,238.4071,1009.0656,998.4167,0.0007
136,358.4586,379.9764,363.8458,230.6385,1169.1277,1158.7489,0.0007
137,363.6140,429.3716,412.8878,225.8844,1241.4442,1231.2040,0.0007
