epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
75,1417.0911,1212.2299,1177.2749,1438.9658,1357.8937,1322.3992,0.0010
76,1395.5930,1178.5837,1143.6938,1197.7278,1219.2003,1189.2572,0.0010
77,1409.8445,1189.9062,1154.1902,1185.4817,1144.4259,1114.3937,0.0010
78,1299.0955,1142.5323,1109.1890,1176.2815,1274.8712,1244.6799,0.0010
79,1330.8351,1063.7062,1029.1046,1044.7380,1347.5217,1320.3585,0.0010
80,1410.6749,1123.1968,1086.0488,1238.0637,1212.7271,1180.1246,0.0010
81,1404.5728,1173.4196,1135.9644,1353.7207,1246.6187,1210.5194,0.0007
82,1416.7195,1043.6549,1005.4034,1328.7357,1159.3430,1123.4670,0.0007
83,1388.8062,1180.7439,1142.7831,1107.5227,1318.7130,1288.4407,0.0007
84,1322.2443,1031.1388,994.5567,1258.5210,1264.2545,1229.4355,0.0007
85,1371.0120,994.5953,956.2070,1188.2290,1254.7379,1221.4675,0.0007
86,1288.5032,1027.3386,990.8311,1067.7765,1307.6085,1277.3549,0.0007
87,1253.3430,1013.6140,977.6848,1121.1886,1290.0515,1257.9109,0.0007
88,1201.3613,926.3516,891.5124,1060.7333,1289.2590,1258.4978,0.0007
89,1265.4948,948.1135,910.9924,1123.1860,1232.5220,1199.5752,0.0007
90,1228.1542,893.5317,857.0965,918.2888,1436.9697,1409.7272,0.0007
91,1213.7324,974.2010,937.7890,1063.7179,1236.5344,1204.6228,0.0007
92,1261.9824,944.2775,905.9973,864.6785,1443.5376,1417.3091,0.0007
93,1314.3619,1026.8497,986.5426,910.2779,1625.4142,1597.4990,0.0007
94,1266.0597,1013.8369,974.5890,1126.8337,1243.4253,1208.4934,0.0007
95,1290.6515,1020.1623,979.7219,1098.5588,1257.5925,1223.1709,0.0007
96,1247.4330,1004.8593,965.3573,968.8701,1524.4562,1493.7751,0.0007
97,1185.9668,972.8277,934.8768,982.5726,1462.8723,1431.4299,0.0007
98,1170.9623,859.3800,821.5189,967.8207,1338.2031,1306.9102,0.0007
99,1236.0667,905.7314,865.3533,880.2755,1488.0364,1459.2806,0.0007
100,1211.4396,980.7550,940.7776,827.3520,1545.7097,1518.4071,0.0007
101,1118.5215,827.6731,790.3890,1021.4899,1283.9640,1249.9143,0.0007
102,1175.3040,901.1138,861.5452,1016.3065,1343.1832,1308.9675,0.0007
103,1178.3263,934.8018,894.7386,908.4347,1358.2306,1327.3438,0.0007
104,1199.4144,946.6395,905.4596,1063.9517,1422.6394,1386.1105,0.0007
105,1157.3282,855.4000,815.2792,987.5521,1438.5050,1404.2699,0.0007
106,1155.6339,880.8795,840.4323,845.9159,1527.1514,1497.5443,0.0007
107,1043.3518,798.0432,761.1780,872.6207,1325.1444,1294.3119,0.0007
108,1170.7351,813.4175,771.6613,838.7936,1353.7822,1323.8652,0.0007
109,1153.1852,890.1593,848.6446,923.6729,1272.6689,1239.4167,0.0007
110,1179.7849,857.5887,814.7234,933.7031,1308.8865,1274.9619,0.0007
111,1159.7123,847.3644,804.8417,850.2008,1387.3779,1356.2039,0.0007
112,1163.5994,899.2408,856.1876,961.4563,1257.4209,1221.8470,0.0007
113,1145.3273,879.8010,837.0421,1030.5540,1366.0240,1327.5500,0.0007
114,1163.9667,919.1873,875.3446,754.5809,1698.9865,1670.5637,0.0007
115,1078.6177,850.1503,809.1627,761.6340,1410.9846,1382.0426,0.0007
116,1013.6154,825.0994,786.2440,913.1256,1303.4420,1268.4388,0.0007
117,1183.9436,835.7804,790.0012,918.6458,1265.8306,1230.3096,0.0007
118,1112.1538,830.1968,786.8228,887.2585,1365.3235,1330.7205,0.0007
119,1103.5938,836.1229,792.7149,807.5964,1389.0798,1357.3145,0.0007
120,1090.7258,768.2185,724.9531,774.8555,1352.9873,1322.2513,0.0007
121,1010.3627,760.5721,720.1575,794.5098,1271.3406,1239.5602,0.0005
122,1042.9171,785.0256,742.9612,777.4757,1263.0958,1231.7375,0.0005
123,1017.5498,809.4252,768.0449,720.5872,1471.4214,1442.1177,0.0005
124,1040.7172,765.8162,723.1469,805.7202,1259.6429,1226.6084,0.0005
125,1030.0255,784.7224,742.1481,771.2485,1261.6251,1229.7468,0.0005
126,1018.4050,779.8766,737.4431,743.1125,1525.9600,1494.9971,0.0005
127,984.2737,694.5041,653.1647,769.5126,1262.3037,1229.9841,0.0005
128,976.6855,745.8262,704.4798,741.5266,1325.9293,1294.5378,0.0005
129,928.4041,699.1513,659.5394,721.5678,1414.1313,1383.3445,0.0005
130,964.6033,749.9224,708.4445,778.8524,1353.8813,1320.3906,0.0005
131,955.5574,717.8406,676.4330,730.7976,1295.3636,1263.6958,0.0005
132,971.0275,752.1318,709.7302,725.9493,1322.0798,1290.3801,0.0005
133,951.6965,698.5676,656.6929,683.5276,1413.9819,1383.9067,0.0005
134,920.7729,737.3278,696.5068,753.1890,1297.3307,1263.9393,0.0005
135,962.6341,723.9609,680.9633,639.3306,1432.2701,1403.7134,0.0005
136,954.6151,709.8522,666.8947,710.4504,1254.9526,1222.9824,0.0005
137,940.3771,775.5041,732.8737,683.7160,1353.2032,1322.2080,0.0005
138,911.4332,776.7664,735.1442,739.4946,1264.9337,1231.1636,0.0005
139,920.4954,702.1047,659.7619,663.8619,1272.0205,1241.4828,0.0005
140,865.2133,696.3455,656.2571,651.0071,1312.6426,1282.4792,0.0005
141,899.3674,657.4202,615.4498,689.7217,1288.3337,1256.1467,0.0005
142,894.4832,704.9277,662.8870,672.7589,1307.1904,1275.5708,0.0005
143,889.5851,691.0804,648.9735,598.2762,1545.4087,1517.0903,0.0005
144,893.9310,692.4164,649.8057,661.3229,1335.2950,1303.7720,0.0005
145,872.8172,686.2557,644.3605,685.6619,1292.3820,1259.4702,0.0005
146,843.3315,690.4957,649.7347,612.8419,1341.5156,1311.8950,0.0005
147,866.6249,741.5578,699.3820,675.8191,1383.6107,1350.7208,0.0005
148,879.3204,737.3589,694.2722,557.8022,1546.2192,1518.8870,0.0005
149,855.9424,692.7847,650.5582,637.5596,1346.6396,1315.1868,0.0005
150,875.0910,653.2048,609.7421,667.3042,1273.6921,1240.5493,0.0005
151,854.0164,667.8188,625.1180,631.3378,1318.9298,1287.3629,0.0005
152,863.5456,674.7427,631.5654,639.4839,1329.2833,1297.3091,0.0005
153,836.6064,697.2757,655.4453,609.8960,1274.3490,1243.8540,0.0005
154,832.2430,647.2427,605.6305,706.7423,1362.6929,1327.3557,0.0005
155,844.9850,649.5882,607.3390,637.7504,1263.5339,1231.6465,0.0005
156,834.3148,704.8494,663.1335,643.6031,1254.9985,1222.8184,0.0005
157,846.3065,659.1657,616.8505,626.3814,1245.8367,1214.5176,0.0005
158,929.4897,779.3253,732.8509,629.7893,1324.6179,1293.1284,0.0005
159,765.5585,668.6579,630.3799,586.8311,1295.5852,1266.2437,0.0005
160,781.2799,627.4532,588.3893,593.1990,1198.4193,1168.7593,0.0005
161,787.5917,620.4375,581.0579,602.0250,1250.2566,1220.1553,0.0003
162,812.4520,655.3756,614.7529,602.4329,1226.7861,1196.6646,0.0003
163,798.6473,603.4791,563.5468,587.5942,1222.2510,1192.8713,0.0003
164,797.8291,636.7769,596.8854,571.8675,1236.4282,1207.8348,0.0003
165,776.0990,625.2153,586.4104,566.5765,1219.0144,1190.6855,0.0003
166,779.5831,624.1227,585.1435,539.9640,1293.9827,1266.9845,0.0003
167,772.3867,635.7126,597.0931,543.8433,1228.3975,1201.2053,0.0003
168,736.4740,603.4474,566.6237,533.7423,1237.3041,1210.6169,0.0003
169,764.0500,571.2198,533.0175,505.1714,1284.4579,1259.1992,0.0003
170,727.6465,578.0410,541.6586,560.0593,1211.2380,1183.2351,0.0003
171,781.6895,599.7438,560.6592,523.3737,1255.0431,1228.8743,0.0003
172,742.9938,584.5316,547.3820,565.2051,1241.8138,1213.5537,0.0003
173,745.6125,576.4648,539.1842,563.0127,1243.1747,1215.0240,0.0003
174,743.6228,610.7579,573.5768,541.8390,1213.9125,1186.8206,0.0003
175,763.5140,658.1594,619.9837,524.4769,1262.1573,1235.9336,0.0003
176,741.9653,581.2170,544.1188,561.5767,1237.3926,1209.3137,0.0003
177,774.9814,602.0382,563.2892,527.1648,1199.6102,1173.2520,0.0003
178,717.4622,619.5428,583.6697,525.6419,1281.9630,1255.6809,0.0003
179,726.6709,575.7701,539.4366,486.5034,1235.9734,1211.6482,0.0003
180,737.0193,591.0520,554.2009,487.4076,1255.9573,1231.5869,0.0003
181,705.8062,588.5684,553.2781,532.4374,1241.8638,1215.2419,0.0003
182,745.8207,601.2949,564.0038,460.9393,1230.7689,1207.7219,0.0003
183,690.7803,602.1978,567.6588,486.0346,1268.7997,1244.4980,0.0003
184,717.6407,557.4119,521.5298,466.8115,1263.3912,1240.0508,0.0003
185,726.4811,574.4977,538.1736,510.3350,1290.2271,1264.7103,0.0003
186,729.4901,623.8085,587.3339,485.6074,1217.2898,1193.0095,0.0003
187,699.0987,568.0799,533.1251,507.2453,1273.2598,1247.8976,0.0003
188,687.2106,556.4814,522.1209,507.2962,1302.2733,1276.9086,0.0003
189,707.5634,604.5941,569.2159,468.5975,1255.5026,1232.0728,0.0003
190,676.5650,552.5912,518.7630,436.3981,1382.5129,1360.6930,0.0003
