epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
68,319.7659,1315.0145,1307.8730,246.4637,9626.6904,9621.1865,0.0010
69,276.7505,1474.8240,1468.5509,259.8315,9130.5020,9124.6123,0.0010
70,267.3384,1250.4961,1244.3473,247.4902,9560.0537,9554.3613,0.0010
71,280.7885,1148.1398,1141.5880,273.2328,8607.4033,8601.0273,0.0010
72,313.3631,1178.9553,1171.5391,260.3098,8490.4355,8484.2754,0.0010
73,272.4255,1155.6359,1149.0977,303.2438,8169.0854,8161.8076,0.0010
74,305.1213,1249.1528,1241.7280,284.8073,8099.3008,8092.3706,0.0010
75,302.4135,1106.4103,1098.9507,256.0164,8144.3169,8138.0020,0.0010
76,283.3166,1147.8804,1140.7974,264.9746,7885.3760,7878.7515,0.0010
77,308.0779,1174.2417,1166.4371,260.7411,8117.0649,8110.4595,0.0010
78,325.2198,1239.5116,1231.1642,264.5085,7761.6987,7754.9092,0.0010
79,303.8405,1166.7335,1158.8339,248.9449,8170.6050,8164.1323,0.0010
80,271.4394,1102.7471,1095.5991,269.1245,6930.1699,6923.0830,0.0010
81,298.7766,1115.5228,1107.5553,278.1348,7161.4233,7154.0068,0.0010
82,287.8767,1162.9545,1155.1818,288.0714,6734.0601,6726.2822,0.0010
83,330.1020,1204.8866,1195.8639,301.7723,6305.6382,6297.3901,0.0010
84,368.0263,1145.9763,1135.7942,300.8207,6072.9346,6064.6118,0.0010
85,358.6426,1138.4825,1128.4406,299.8721,5913.9712,5905.5752,0.0010
86,347.6696,1165.4363,1155.5858,306.2295,5886.2256,5877.5493,0.0010
87,334.4646,1077.8801,1068.2921,280.2605,5743.5537,5735.5200,0.0010
88,346.2585,1089.1122,1079.0708,303.5168,5189.8779,5181.0757,0.0010
89,340.4166,1094.9415,1084.9561,287.0025,5650.2466,5641.8271,0.0010
90,355.7861,1040.4712,1029.9161,321.9704,4362.5073,4352.9556,0.0010
91,395.1060,1125.4691,1113.6161,309.0099,4776.0186,4766.7480,0.0010
92,352.9257,1013.7109,1003.0056,300.8136,4491.4985,4482.3740,0.0010
93,355.6620,1160.7760,1149.8690,294.8187,4318.2969,4309.2559,0.0010
94,357.5320,1079.3931,1068.3097,301.2091,3777.7324,3768.3950,0.0010
95,345.1743,1104.2838,1093.4685,294.8101,3968.1660,3958.9285,0.0010
96,358.3045,1220.9000,1209.5536,291.2646,4000.3245,3991.1011,0.0010
97,352.2180,999.2162,987.9451,304.5598,3947.8967,3938.1506,0.0010
98,357.2710,1028.7716,1017.2199,291.3202,3895.2090,3885.7896,0.0010
99,335.2274,1068.1084,1057.1577,299.5568,3810.3606,3800.5752,0.0010
100,373.6392,1064.5334,1052.2034,295.4600,4121.7725,4112.0225,0.0010
101,375.5359,1086.5212,1074.0034,293.7601,3982.8452,3973.0532,0.0010
102,355.5510,998.0660,986.0959,310.5473,3417.7271,3407.2720,0.0010
103,365.7959,1076.3031,1063.8661,297.2031,3180.8040,3170.6990,0.0010
104,376.6590,1038.1971,1025.2651,314.8781,3118.3882,3107.5771,0.0010
